GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
team01,edu.ucsb.cs156.consentric.controllers,UCSBDatesController,0,119,0,0,0,28,0,10,0,10
team01,edu.ucsb.cs156.consentric.controllers,RestaurantsController,0,104,0,0,0,24,0,9,0,9
team01,edu.ucsb.cs156.consentric.controllers,UCSBDiningCommonsController,0,141,0,0,0,34,0,10,0,10
team01,edu.ucsb.cs156.consentric.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
team01,edu.ucsb.cs156.consentric.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
team01,edu.ucsb.cs156.consentric.controllers,JobsController,0,87,0,2,0,16,0,10,0,9
team01,edu.ucsb.cs156.consentric.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
team01,edu.ucsb.cs156.consentric.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
team01,edu.ucsb.cs156.consentric.controllers,ApiController,0,24,0,0,0,7,0,5,0,5
team01,edu.ucsb.cs156.consentric.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
team01,edu.ucsb.cs156.consentric.services,SystemInfoServiceImpl,0,52,0,4,0,14,0,6,0,4
team01,edu.ucsb.cs156.consentric.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
team01,edu.ucsb.cs156.consentric.jobs,TestJob,0,22,0,2,0,7,0,2,0,1
team01,edu.ucsb.cs156.consentric.services.jobs,JobService,0,75,0,2,0,20,0,6,0,5
team01,edu.ucsb.cs156.consentric.services.jobs,JobContext,0,48,0,4,0,6,0,4,0,2
team01,edu.ucsb.cs156.consentric.handlers,UrlEventHandler,0,41,0,8,0,9,0,6,0,2
team01,edu.ucsb.cs156.consentric.errors,EntityNotFoundException,0,17,0,0,0,2,0,1,0,1
